6 66.74 99  109.05 8.73428928476542e-31
6 66.74 100  109.05 3.9015981256484974e-32
7 66.74 7  0.0 5.561200712188669e-29
7 66.74 8  1.09 0.00010124784651937684
7 66.74 9  1.09 8.106177173030866e-5
7 66.74 10  1.09 9.746463935071305e-5
7 66.74 11  1.09 0.00022872291229760752
7 66.74 12  1.09 6.0723446488691256e-5
7 66.74 13  22.62 0.12132919937852063
7 66.74 14  22.62 0.06679913329444778
7 66.74 15  22.62 0.06875864847866614
7 66.74 16  22.62 0.030762573302461863
7 66.74 17  22.62 0.056540892382166905
7 66.74 18  24.44 0.09153454466256498
7 66.74 19  25.41 6.2486390398294e-27
7 66.74 20  25.41 1.7093334394505405e-26
7 66.74 21  25.41 5.2596865178584406e-27
7 66.74 22  25.41 5.1368664455966205e-26
7 66.74 23  25.41 1.435995333295686e-26
7 66.74 24  33.23 0.08692426163338085
7 66.74 25  33.23 0.06564919671900944
7 66.74 26  33.23 0.1295686771590696
7 66.74 27  52.83 1.684312015816289e-27
7 66.74 28  52.83 3.5192199863801554e-27
7 66.74 29  52.83 2.742275404034728e-27
7 66.74 30  52.83 5.378967698616656e-27
7 66.74 31  52.83 6.753019500427717e-27
7 66.74 32  52.83 9.965632583220884e-27
7 66.74 33  52.83 8.755107474821828e-27
7 66.74 34  60.97 0.0015170645812332523
7 66.74 35  60.97 0.0005756995385867193
