11 3.77 46  40.8 0.0006422088062017534
11 3.77 47  40.8 0.0011132620074664275
11 3.77 48  40.8 0.0012836596616180277
11 3.77 49  40.8 0.001008183223193118
11 3.77 50  40.8 0.001463935210885228
11 3.77 51  40.8 0.0021910973295288807
11 3.77 52  40.8 0.0019895961012802335
11 3.77 53  40.8 0.0017428395243196543
11 3.77 54  40.8 0.0016879168435572963
11 3.77 55  40.8 0.0010633852054986
11 3.77 56  40.8 0.0007300355049830186
11 3.77 57  40.8 0.000636071899839328
11 3.77 58  47.42 0.012409638782267635
11 3.77 59  47.42 0.008455893985694782
11 3.77 60  47.42 0.001925447079487355
11 3.77 61  47.42 0.005879117112517505
11 3.77 62  47.42 0.009973415312252518
12 3.77 12  0.0 0.162123380576518
12 3.77 13  0.0 0.03773871782151561
12 3.77 14  0.0 0.03708414005113864
12 3.77 15  3.48 0.013676132597180484
12 3.77 16  3.48 0.01828607323860928
12 3.77 17  3.48 0.011599812856187419
12 3.77 18  3.48 0.011574212314312275
12 3.77 19  3.48 0.029673791457500116
12 3.77 20  40.8 0.0018731800343343259
12 3.77 21  40.8 0.0024275532076815406
12 3.77 22  40.8 0.0012644604131312044
12 3.77 23  40.8 0.0006143130093332411
12 3.77 24  40.8 0.0017803527518525462
12 3.77 25  40.8 0.001677710846563034
12 3.77 26  40.8 0.0005683959834342279
12 3.77 27  40.8 0.00044366991942015405
12 3.77 28  40.8 0.00048650274964496154
12 3.77 29  40.8 0.0005105680472660951
12 3.77 30  40.8 0.000628414028756344
12 3.77 31  40.8 0.00043224931598365217
12 3.77 32  40.8 0.00037756321945938993
12 3.77 33  40.8 0.00046260640809772777
12 3.77 34  40.8 0.0005000209024055781
12 3.77 35  40.8 0.00202769501491761
